Epoch;TotalLivingAnimals;TotalDeadAnimals;TotalPlants;MeanEnergy;MeanLifespan;MeanChildrenCount;DominatingGenome
98;21;114;93;102.71;43.38;1.24;00000111112222222233445556667777
99;21;114;95;101.71;42.94;1.24;00000111112222222233445556667777
100;21;114;97;100.71;42.51;1.24;00000111112222222233445556667777
101;22;114;96;100.64;42.09;1.27;00000111112222222233445556667777
102;22;114;98;99.64;41.68;1.27;00000111112222222233445556667777
103;23;114;100;94.39;41.27;1.30;00000111112222222233445556667777
104;24;114;102;89.50;40.88;1.33;00000111112222222233445556667777
105;25;114;104;85.00;40.49;1.36;00000111112222222233445556667777
106;26;114;105;82.31;40.10;1.38;00122333344444444444556666667777
107;26;114;105;84.38;39.73;1.38;00122333344444444444556666667777
108;26;114;105;86.46;39.36;1.38;00122333344444444444556666667777
109;26;114;105;88.54;39.00;1.38;00122333344444444444556666667777
110;26;114;105;90.62;38.65;1.38;00122333344444444444556666667777
111;27;114;106;87.81;38.30;1.41;00122333344444444444556666667777
112;28;114;104;89.43;37.96;1.43;00122333344444444444556666667777
113;29;114;104;88.14;37.62;1.45;00111111223445555566666666666677
114;30;114;105;85.57;37.29;1.47;00111111223445555566666666666677
115;31;114;106;83.16;36.97;1.48;00111111223445555566666666666677
116;32;114;105;83.34;36.65;1.50;00111111223445555566666666666677
117;33;114;107;79.85;36.33;1.52;00111111223445555566666666666677
118;34;114;107;78.91;36.03;1.53;00111111223445555566666666666677
119;35;114;108;76.86;35.72;1.54;00111111223445555566666666666677
120;36;114;109;74.86;35.42;1.56;00111111223445555566666666666677
121;36;115;109;76.11;36.12;1.56;00111111223445555566666666666677
122;36;116;109;77.36;36.82;1.58;00111111223445555566666666666677
123;36;116;111;76.36;36.52;1.58;00111111223445555566666666666677
124;37;116;113;73.35;36.23;1.59;00111111223445555566666666666677
125;37;116;115;72.35;35.94;1.59;00111111223445555566666666666677
126;37;117;115;73.54;36.64;1.54;00111111223445555566666666666677
127;37;118;114;75.84;36.43;1.54;00111111223445555566666666666677
128;37;119;115;75.97;36.34;1.54;00111111223445555566666666666677
129;37;121;116;76.14;36.91;1.54;00111111223445555566666666666677
130;38;121;116;75.29;36.63;1.55;00111111223445555566666666666677
131;40;121;115;73.57;36.35;1.58;00111111223445555566666666666677
132;40;121;115;74.57;36.08;1.58;00111111223445555566666666666677
133;42;121;115;71.98;35.80;1.60;00111111223445555566666666666677
134;44;121;116;68.68;35.54;1.61;00111111223445555566666666666677
135;44;121;117;68.59;35.27;1.61;00111111223445555566666666666677
136;45;121;116;68.78;35.01;1.62;00111111223445555566666666666677
137;44;123;115;72.09;35.42;1.55;00111111223445555566666666666677
138;44;123;115;72.91;35.17;1.55;00111111223445555566666666666677
139;43;124;115;75.47;35.01;1.56;00111111223445555566666666666677
140;42;126;115;78.19;34.96;1.60;00111111223445555566666666666677
141;41;127;115;81.05;34.96;1.61;00111111223445555566666666666677
142;38;130;114;89.61;35.00;1.71;00111111223445555566666666666677
143;37;131;114;93.19;34.85;1.76;00111111223445555566666666666677
144;38;131;115;90.82;34.61;1.76;00111111223445555566666666666677
145;39;131;113;91.64;34.37;1.77;00111111223445555566666666666677
146;40;131;113;90.38;34.14;1.77;00111111223445555566666666666677
147;40;131;115;89.38;33.90;1.77;00111111223445555566666666666677
148;41;131;116;87.22;33.68;1.78;00111111223445555566666666666677
149;42;131;113;88.95;33.45;1.79;00111111223445555566666666666677
150;43;131;111;89.63;33.23;1.79;00111111223445555566666666666677
151;42;132;112;91.71;33.26;1.74;00111111223445555566666666666677
152;42;133;114;90.74;34.04;1.74;00111111223445555566666666666677
153;40;135;116;94.28;34.31;1.60;00122333344444444444556666667777
154;39;136;116;97.74;34.14;1.64;00122333344444444444556666667777
155;38;138;118;99.34;34.10;1.71;00000000000112333333345666666777
156;38;138;118;100.45;33.88;1.71;00000000000112333333345666666777
157;38;138;118;101.55;33.67;1.71;00000000000112333333345666666777
158;40;138;117;98.57;33.46;1.73;00000000000112333333345666666777
159;40;138;117;99.57;33.25;1.73;00000000000112333333345666666777
160;40;138;115;102.57;33.04;1.73;00000000000112333333345666666777
161;42;138;114;99.64;32.83;1.74;00000000000112333333345666666777
162;43;139;113;99.16;32.70;1.77;00000011234455555555555666666667
163;42;140;113;102.43;32.76;1.71;00000011234455555555555666666667
164;43;140;113;100.95;32.56;1.72;00000011234455555555555666666667
165;43;140;112;102.74;32.36;1.72;00000011234455555555555666666667
166;44;140;111;102.18;32.17;1.73;00000011234455555555555666666667
167;45;140;111;100.73;31.98;1.73;00000011234455555555555666666667
168;46;140;112;98.46;31.79;1.74;00000011234455555555555666666667
169;44;142;111;104.66;33.04;1.73;00000011234455555555555666666667
170;45;142;110;104.02;32.84;1.73;00000011234455555555555666666667
171;44;143;110;107.20;32.78;1.73;00000011234455555555555666666667
172;44;143;111;107.11;32.59;1.73;00000011234455555555555666666667
173;45;143;109;107.33;32.40;1.73;00000011234455555555555666666667
174;46;143;110;104.89;32.21;1.74;00000011234455555555555666666667
175;47;144;109;104.26;32.10;1.79;00000011234455555555555666666667
176;49;144;108;101.53;31.92;1.80;00000011234455555555555666666667
177;52;144;107;97.08;31.74;1.81;00000011234455555555555666666667
178;55;144;107;92.31;31.56;1.82;00000011234455555555555666666667
179;57;144;103;92.33;31.39;1.82;00000011234455555555555666666667
180;58;145;102;91.86;31.32;1.84;00000011234455555555555666666667
181;60;145;102;89.17;31.14;1.85;00000011234455555555555666666667
182;63;145;101;85.90;30.97;1.86;00000011234455555555555666666667
183;69;145;102;78.16;30.80;1.87;00000011234455555555555666666667
184;72;146;101;75.64;30.65;1.90;00000011234455555555555666666667
185;73;147;101;74.75;30.52;1.92;00000011234455555555555666666667
186;77;148;100;71.51;30.56;1.94;00000011234455555555555666666667
187;81;149;97;69.53;30.45;1.94;00000011234455555555555666666667
188;85;149;98;65.79;30.29;1.94;00000011234455555555555666666667
189;90;149;99;61.67;30.13;1.94;00000011234455555555555666666667
190;91;150;97;61.77;30.09;1.95;00000011234455555555555666666667
191;91;152;94;63.01;30.08;1.96;00000011234455555555555666666667
192;92;154;94;62.24;30.09;1.98;00000011234455555555555666666667
193;97;155;90;60.59;29.97;1.99;00000011234455555555555666666667
194;100;156;89;59.02;29.91;1.99;00111111223445555555555666666677
195;103;156;89;57.12;29.76;1.99;00111111223445555555555666666677
196;105;156;89;55.82;29.61;1.99;00111111223445555555555666666677
197;109;156;87;54.29;29.46;1.99;00111111223445555555555666666677
198;110;157;88;53.18;29.33;2.01;00111111223445555555555666666677
199;110;159;88;52.94;29.29;2.04;00111111223445555555555666666677
200;108;162;88;53.68;29.37;2.05;00111111223445555555555666666677
201;105;167;87;55.37;29.59;2.11;00000011122333333344445556677777
202;107;170;88;53.78;29.60;2.14;00000011122333333344445556677777
203;108;171;88;53.05;29.50;2.15;00000011122333333344445556677777
204;108;174;88;52.82;29.58;2.18;00000011122333333344445556677777
205;108;177;89;52.22;29.70;2.20;00000011122333333344445556677777
206;106;182;87;53.75;30.33;2.12;00000011122333333344445556677777
207;108;183;85;53.27;30.24;2.13;00111111223445555555556666666667
208;109;185;81;54.03;30.27;2.15;00111111223445555555556666666667
209;110;187;83;52.58;30.39;2.14;00111111223445555555556666666667
210;111;188;83;51.85;30.34;2.15;00111111223445555555556666666667
211;113;191;82;51.06;30.48;2.19;00111111223445555555556666666667
212;113;194;82;50.81;30.69;2.19;00111111223445555555556666666667
213;116;194;81;49.58;30.55;2.19;00111111223445555555556666666667
214;117;195;80;49.21;30.43;2.19;00111111223445555555556666666667
215;116;199;77;50.39;30.53;2.22;00111111223445555555556666666667
216;119;200;76;49.17;30.41;2.23;00111111223445555555556666666667
217;120;203;76;48.47;30.43;2.25;00111111223445555555556666666667
218;122;205;74;48.04;31.02;2.20;00111111223445555555556666666667
219;126;205;74;46.18;30.88;2.20;00111111223445555555556666666667
220;127;207;69;47.06;30.97;2.21;00111111223445555555556666666667
221;127;211;69;46.42;32.00;2.17;00000011122333344444444555666667
222;126;218;68;46.80;32.75;2.19;00000011122333344444444555666667
223;130;218;70;44.40;32.60;2.18;00000011122333344444444555666667
224;134;219;70;42.73;32.92;2.15;00000011122333344444444555666667
225;135;222;70;42.05;33.46;2.15;00000011122333344444444555666667
226;141;222;69;40.18;33.31;2.14;00000011122333344444444555666667
227;143;225;68;39.50;33.59;2.15;00000011122333344444444555666667
228;144;230;65;39.68;34.15;2.14;00000011122333344444444555666667
229;146;232;62;39.54;34.26;2.12;00000011122333344444444555666667
230;146;236;63;38.85;34.34;2.16;00000011122333344444444555666667
231;145;241;65;38.16;34.46;2.20;00000011122333344444444555666667
232;142;245;60;39.94;34.59;2.25;00000011122333344444444555666667
233;136;252;60;41.30;34.97;2.32;00000011122333344444444555666667
234;129;263;61;42.89;35.71;2.39;00000011122333344444444555666667
235;128;267;61;42.88;35.87;2.39;00000011122333344444444555666667
236;127;272;60;43.21;36.99;2.28;00000011122333344444444555666667
237;129;275;62;41.29;36.96;2.31;00000011122333344444444555666667
238;129;278;63;40.64;36.97;2.30;00000011122344444445555556677777
239;124;284;62;42.26;38.51;2.28;00000011122344444445555556677777
240;127;286;62;40.93;38.54;2.29;00000011122344444445555556677777
241;127;288;63;40.27;38.51;2.30;00000011122344444445555556677777
242;128;290;65;38.98;38.55;2.29;00000011123444444555555556677777
243;127;295;65;38.94;38.86;2.31;00000011234555555555555555566667
244;124;301;66;39.24;39.53;2.33;00000011234555555555555555566667
245;124;305;66;38.94;39.75;2.35;00000011234555555555555555566667
246;124;309;66;38.63;39.96;2.38;00000011234555555555555555566667
247;123;314;67;38.32;40.37;2.44;00000011234555555555555555566667
248;121;319;65;39.30;41.33;2.39;00000011234555555555555555566667
249;120;323;64;39.67;41.93;2.37;00000011234555555555555555566667
250;120;327;62;40.04;41.99;2.42;00000011234555555555555555566667
251;117;332;62;40.77;42.50;2.46;00000011234555555555555555566667
252;115;334;63;40.83;42.59;2.48;00000011234555555555555555566667
253;111;338;65;41.30;42.89;2.51;00000011234555555555555555566667
254;109;341;64;42.17;42.83;2.55;00000011234555555555555555566667
255;105;346;62;44.30;44.27;2.49;00000011234555555555555555566667
256;103;349;61;45.34;44.39;2.50;00000011234555555555555555566667
257;97;355;63;47.14;44.98;2.54;00111112223445555555555666666777
258;94;361;64;48.11;45.84;2.45;00111112223445555555555666666777
259;88;369;64;51.32;46.51;2.57;00111112223445555555555666666777
260;88;372;65;50.81;46.49;2.63;00111112223445555555555666666777
261;83;377;65;53.83;47.08;2.67;00111112223445555555555666666777
262;83;377;67;52.83;46.90;2.67;00111112223445555555555666666777
263;83;378;68;52.33;46.81;2.69;00111112223445555555555666666777
264;83;378;70;51.33;46.63;2.69;00111112223445555555555666666777
265;80;381;70;53.25;47.94;2.60;00111112223445555555555666666777
266;79;383;65;56.48;47.95;2.63;00111112223445555555555666666777
267;78;384;67;56.21;47.85;2.67;00111112223445555555555666666777
268;78;385;66;56.76;48.05;2.64;00111112223445555555555666666777
269;78;386;65;57.31;47.98;2.67;00111112223445555555555666666777
270;78;387;66;56.83;47.87;2.69;00111112223445555555555666666777
271;73;393;66;60.84;48.55;2.71;00111112223445555555555666666777
